customer_id,age,annual_income,loan_amount,loan_purpose,credit_score,transaction_count,spending_ratio,join_date,default_flag
CUST00001,60.0,261459.87,147692.98,Education,633.0,44,14.08,2015-04-15,0
CUST00002,44.0,393587.92,70387.07,Other,672.0,48,12.23,2017-09-24,0
CUST00003,19.0,767271.71,77355.93,Other,598.0,54,25.96,2023-12-13,1
CUST00004,18.0,340998.75,74790.99,Car,801.0,32,30.96,2024-10-26,0
CUST00005,,286282.4,207168.38,Business,663.0,42,21.69,2020-04-02,1
CUST00006,37.0,478175.03,96321.83,Business,669.0,50,27.09,2022-12-03,0
CUST00007,,567792.49,103513.77,Business,666.0,48,25.91,2019-04-05,0
CUST00008,28.0,1005931.05,75782.17,Business,730.0,43,7.74,2020-06-24,0
CUST00009,42.0,528012.5,130316.33,Car,696.0,49,23.62,2024-07-12,1
CUST00010,47.0,610477.27,221813.19,Car,685.0,53,13.07,2018-03-02,0
CUST00011,33.0,633894.37,145614.28,Education,709.0,47,22.65,2018-08-29,1
CUST00012,33.0,248573.12,149062.38,Business,504.0,50,15.43,2016-07-27,0
CUST00013,38.0,273302.35,142022.12,Business,507.0,53,34.01,2017-07-05,1
CUST00014,44.0,257313.86,43124.84,Business,644.0,51,24.24,2015-06-07,0
CUST00015,38.0,227277.52,58356.66,Business,634.0,49,12.87,2024-05-17,1
CUST00016,49.0,658506.68,87291.43,Other,696.0,52,35.01,2024-10-18,0
CUST00017,33.0,511460.2,63862.11,Home,652.0,60,43.83,2019-11-05,0
CUST00018,23.0,460352.62,52118.63,Other,697.0,55,33.19,2021-10-27,1
CUST00019,60.0,121011.61,32102.67,Home,550.0,55,4.16,2017-11-10,0
CUST00020,31.0,,44006.05,Education,649.0,39,18.41,2015-07-12,0
CUST00021,32.0,282904.31,84633.43,Home,543.0,50,15.54,2020-12-04,1
CUST00022,37.0,1234166.47,94688.15,Education,681.0,57,8.85,2016-10-27,1
CUST00023,39.0,,61338.79,Car,500.0,54,68.55,2024-10-01,1
CUST00024,34.0,294725.42,103502.92,Home,678.0,43,21.62,2018-03-19,1
CUST00025,38.0,,76092.11,Education,532.0,39,13.09,2023-06-24,0
CUST00026,38.0,530228.06,189917.33,Business,619.0,52,10.34,2018-01-09,1
CUST00027,40.0,255089.97,89592.29,Home,722.0,38,61.35,2016-06-14,0
CUST00028,18.0,258719.55,149911.22,Business,668.0,47,50.55,2021-04-21,1
CUST00029,59.0,,111516.55,Home,518.0,52,20.58,2017-02-08,1
CUST00030,36.0,652572.51,42563.71,Home,596.0,53,45.95,2019-08-04,0
