customer_id,age,gender,income,region,education,satisfaction_level,signup_date
CUST0001,56.0,Male,,East,Bachelors,High,2024-08-02
CUST0002,69.0,Male,,West,Bachelors,High,2021-08-17
CUST0003,46.0,Male,87312.96,West,High School,High,2021-02-21
CUST0004,32.0,Female,53658.86,West,Bachelors,High,2022-07-18
CUST0005,60.0,Male,65194.12,Central,,High,2022-05-17
CUST0006,25.0,Female,69972.73,West,PhD,,2022-04-03
CUST0007,38.0,Other,23569.09,North,High School,Medium,2021-10-13
CUST0008,56.0,Male,102100.6,West,Bachelors,High,2021-07-29
CUST0009,36.0,Male,47245.74,Central,Bachelors,Medium,2024-10-17
CUST0010,40.0,Male,63902.2,West,Bachelors,Low,2024-01-22
CUST0011,28.0,Female,66530.48,East,,Medium,2021-06-28
CUST0012,,Male,40333.89,East,Bachelors,Medium,2024-04-24
CUST0013,41.0,Male,88245.65,Central,Bachelors,Very High,2023-05-15
CUST0014,53.0,Male,,North,Masters,High,2021-03-07
CUST-0015A,57.0,Female,51157.49,North,Bachelors,Very High,2021-03-03
CUST0016,41.0,Male,57493.14,South,Bachelors,High,2021-07-11
CUST0017,20.0,Female,68756.54,Central,Bachelors,Medium,2022-03-24
CUST0018,39.0,Female,55194.37,West,Bachelors,Medium,2022-04-22
CUST0019,19.0,Male,70874.74,Central,Bachelors,High,2023-11-01
CUST0020,41.0,Female,24672.3,South,Bachelors,Low,2024-05-17
CUST0021,61.0,Male,41536.54,Central,High School,Very High,2021-02-24
CUST0022,47.0,Female,16501.59,Central,High School,High,2024-02-24
C0023X,55.0,Female,90946.15,South,High School,Medium,2022-02-12
CUST0024,19.0,Female,90711.86,North,High School,Very High,2024-08-23
CUST0025,38.0,Male,66279.09,West,Bachelors,High,2024-01-22
CUST0026,50.0,Male,36772.87,South,Bachelors,High,2023-05-10
CUST0027,29.0,Male,98017.81,East,High School,Low,2022-03-28
CUST0028,39.0,Male,44120.54,North,PhD,Medium,2023-07-09
CUST0029,61.0,Male,51162.27,East,High School,High,2024-04-21
CUST-0030A,42.0,Male,57871.6,North,,Medium,2022-07-24
CUST0031,150.0,Male,63127.29,West,Bachelors,Low,2021-01-14
CUST0032,44.0,Male,66588.45,,Bachelors,High,2021-11-23
CUST0033,,Female,,Central,High School,Low,2023-05-16
CUST0034,45.0,Male,52398.57,East,Bachelors,High,2022-11-28
CUST0035,33.0,Male,67025.82,North,Bachelors,Very High,2022-07-24
CUST0036,32.0,Male,51594.26,West,PhD,Very High,2021-11-15
CUST0037,64.0,Male,65427.46,South,Bachelors,Medium,2022-03-17
CUST0038,68.0,Other,63951.25,West,PhD,Very High,2022-11-21
CUST0039,61.0,Male,68731.25,South,,Low,2021-07-29
CUST0040,69.0,Female,,North,Masters,Low,2021-07-09
CUST0041,,Other,47036.22,West,Bachelors,High,2023-02-18
CUST0042,54.0,Female,63256.78,West,Masters,Medium,2021-07-18
CUST0043,68.0,Female,66761.2,North,High School,Medium,2023-01-06
CUST0044,24.0,Female,31759.76,West,Bachelors,High,2022-12-06
CUST-0045A,38.0,Other,50067.2,South,Bachelors,Medium,2024-05-21
C0046X,26.0,Female,65946.05,West,Masters,Medium,2022-06-26
CUST0047,56.0,Female,85767.26,East,Bachelors,Medium,2021-03-30
CUST0048,35.0,Female,69848.2,Central,Masters,High,2023-07-30
CUST0049,21.0,Female,,South,High School,High,2024-01-04
CUST0050,42.0,Female,47829.28,East,Masters,Medium,2021-09-13
CUST0051,31.0,Male,59503.43,North,Masters,Medium,2023-02-15
CUST0052,67.0,Male,69503.24,South,Masters,Medium,2021-06-11
CUST0053,26.0,Male,13125.67,Central,,Low,2024-02-05
CUST0054,43.0,Male,82194.46,Central,Bachelors,,2022-08-24
CUST0055,19.0,Male,21503.62,North,PhD,Medium,2024-07-11
CUST0056,37.0,Male,72944.92,North,High School,Medium,2024-06-20
CUST0057,,Female,67362.97,South,Bachelors,High,2023-01-11
CUST0058,64.0,Male,12887.33,West,Bachelors,High,2024-03-28
CUST0059,24.0,Female,13796.9,North,Masters,High,2022-01-29
CUST-0060A,61.0,Male,80784.67,West,High School,,2021-05-23
CUST0061,25.0,Male,76865.0,East,Bachelors,Medium,2021-04-04
CUST0062,64.0,Female,,Central,Masters,Medium,2024-09-16
CUST0063,52.0,Female,39126.18,West,High School,Medium,2022-04-12
CUST0064,31.0,Male,64226.89,Central,PhD,High,2022-08-16
CUST0065,34.0,Female,54770.61,West,High School,High,2021-06-13
CUST0066,53.0,Female,73979.11,East,Bachelors,High,2022-04-22
CUST0067,67.0,Male,63632.46,North,High School,High,2021-07-26
CUST0068,57.0,Male,83494.55,East,High School,Medium,2023-02-18
C0069X,21.0,Other,72461.4,North,PhD,High,2022-07-24
CUST0070,19.0,Female,67973.91,North,Bachelors,Medium,2023-07-18
CUST0071,23.0,Female,48661.76,Central,Bachelors,High,2024-07-25
CUST0072,59.0,Female,47344.22,East,High School,Medium,2023-01-18
CUST0073,21.0,Male,54068.34,West,Bachelors,Medium,2021-11-30
CUST0074,,Male,88136.98,East,Bachelors,Medium,2023-01-29
CUST-0075A,35.0,Male,47687.05,Central,Bachelors,Very High,2022-12-29
CUST0076,43.0,Female,59689.52,North,,Medium,2022-03-06
CUST0077,61.0,Female,14593.55,Central,Masters,Low,2024-10-04
CUST0078,51.0,Female,67164.56,South,Bachelors,Medium,2022-07-01
CUST0079,27.0,Male,95629.57,South,Bachelors,High,2024-10-31
CUST0080,53.0,Male,38194.51,West,High School,High,2024-08-20
CUST0081,31.0,Female,112139.96,Central,Masters,High,2021-05-27
CUST0082,48.0,,58280.33,West,Bachelors,Medium,2024-06-01
CUST0083,65.0,Female,12000.0,West,Bachelors,High,2024-07-24
CUST0084,32.0,Male,48060.31,South,High School,Medium,2021-12-17
CUST0085,25.0,Female,78947.89,West,PhD,High,2023-12-30
CUST0086,31.0,Male,90987.71,South,High School,High,2022-05-17
CUST0087,40.0,Female,67925.77,North,Masters,Medium,2021-12-01
CUST0088,57.0,Male,83216.7,Central,Bachelors,Low,2023-08-05
CUST0089,38.0,Female,33799.86,West,High School,Low,2023-02-17
CUST-0090A,33.0,Male,42755.29,,Masters,Medium,2022-07-07
CUST0091,62.0,Female,24769.73,East,Bachelors,Medium,2024-08-03
C0092X,35.0,Male,44108.86,West,Masters,,2024-02-15
CUST0093,64.0,Male,,North,PhD,Medium,2022-03-26
CUST0094,41.0,Male,58827.8,North,Masters,Medium,2022-10-27
CUST0095,43.0,Male,70621.28,East,High School,Low,2021-04-25
CUST0096,42.0,Male,38142.75,South,Masters,Low,2022-04-15
CUST0097,62.0,Female,39240.55,West,Bachelors,Very High,2021-03-07
CUST0098,58.0,Male,58682.98,South,Masters,Medium,2022-10-09
CUST0099,46.0,Female,44152.34,North,Bachelors,High,2023-04-02
CUST0100,32.0,Female,78433.29,South,Masters,High,2022-07-03
CUST0101,62.0,Female,43706.46,North,Bachelors,High,2021-05-16
CUST0102,18.0,Male,46082.99,South,Bachelors,,2022-03-09
CUST0103,42.0,Male,62539.11,East,High School,Medium,2024-03-07
CUST0104,24.0,Female,47992.81,Central,Masters,Very High,2022-10-07
CUST-0105A,26.0,Other,32771.0,East,Bachelors,Low,2022-03-12
CUST0106,41.0,Male,35211.6,East,Bachelors,Low,2024-09-04
CUST0107,18.0,Male,64679.79,Central,Masters,High,2023-10-20
CUST0108,61.0,Male,30543.19,Central,Bachelors,Very High,2023-03-22
CUST0109,25.0,Other,80148.96,West,High School,High,2024-08-09
